FOLIO	SALES	LNSALES	LAND	IMP	TOTVAL	NBHD
129295710	378.0	5.93489	81.84	243.30	325.14	CHEVAL
129295830	273.0	5.60947	60.48	134.47	194.95	CHEVAL
129453028	321.2	5.77206	115.58	255.42	371.00	CHEVAL
129453080	395.0	5.97889	119.61	202.05	321.66	CHEVAL
129453314	272.0	5.60580	84.69	133.58	218.26	CHEVAL
129453326	350.0	5.85793	78.69	154.70	233.39	CHEVAL
129453554	315.0	5.75257	59.85	148.29	208.15	CHEVAL
129453556	220.0	5.39363	59.25	176.31	235.56	CHEVAL
129453584	280.0	5.63479	85.68	147.06	232.74	CHEVAL
129453728	274.9	5.61641	57.96	129.07	187.03	CHEVAL
129453820	219.9	5.39317	63.92	104.77	168.68	CHEVAL
129453844	295.0	5.68698	45.36	121.01	166.37	CHEVAL
129453918	250.0	5.52146	65.28	133.21	198.49	CHEVAL
129453950	295.0	5.68698	69.55	156.44	226.00	CHEVAL
129453984	327.0	5.78996	72.50	166.94	239.44	CHEVAL
129454122	445.0	6.09807	84.56	235.96	320.53	CHEVAL
129454144	420.0	6.04025	84.15	234.30	318.45	CHEVAL
129454156	327.0	5.78996	112.38	185.57	297.96	CHEVAL
129454194	382.5	5.94673	81.23	217.98	299.22	CHEVAL
129454316	242.0	5.48894	61.48	110.28	171.76	CHEVAL
129454374	242.0	5.48894	49.99	109.06	159.06	CHEVAL
129454524	510.0	6.23441	71.28	224.38	295.65	CHEVAL
129454536	285.0	5.65249	63.82	158.83	222.65	CHEVAL
129454548	400.0	5.99146	68.31	194.69	263.00	CHEVAL
129790534	323.0	5.77765	61.06	206.32	267.38	CHEVAL
129790560	347.0	5.84932	62.96	208.73	271.69	CHEVAL
129790578	375.0	5.92693	67.42	173.74	241.16	CHEVAL
129790592	383.0	5.94803	65.51	221.34	286.85	CHEVAL
129790708	1000.0	6.90776	207.00	523.79	730.79	CHEVAL
129790754	498.9	6.21241	163.30	311.76	475.06	CHEVAL
129790796	626.0	6.43935	161.78	306.67	468.45	CHEVAL
129790816	850.0	6.74524	166.53	335.54	502.07	CHEVAL
129790824	665.0	6.49979	152.18	348.20	500.38	CHEVAL
129790864	510.0	6.23441	130.64	332.09	462.72	CHEVAL
129795006	334.0	5.81114	62.76	170.91	233.67	CHEVAL
129795122	500.0	6.21461	91.32	296.02	387.34	CHEVAL
129795276	825.0	6.71538	117.01	451.41	568.42	CHEVAL
129795456	515.0	6.24417	117.72	347.87	465.59	CHEVAL
129795468	520.0	6.25383	107.06	329.93	436.99	CHEVAL
129795488	780.0	6.65929	157.29	507.85	665.14	CHEVAL
129795506	825.0	6.71538	131.89	466.27	598.16	CHEVAL
129795510	841.0	6.73459	159.84	443.29	603.13	CHEVAL
129795606	1140.0	7.03878	157.49	563.91	721.41	CHEVAL
129842052	460.0	6.13123	59.36	206.84	266.20	CHEVAL
339720192	285.0	5.65249	39.75	166.61	206.36	HUNTERSGREEN
339721514	350.0	5.85793	54.00	227.43	281.43	HUNTERSGREEN
339721560	314.5	5.75098	48.84	187.13	235.97	HUNTERSGREEN
594030716	183.0	5.20949	34.75	158.05	192.80	HUNTERSGREEN
594030754	200.0	5.29832	29.10	145.80	174.90	HUNTERSGREEN
594030784	775.0	6.65286	142.27	350.43	492.70	HUNTERSGREEN
594030788	505.0	6.22456	99.62	306.43	406.05	HUNTERSGREEN
594030880	425.0	6.05209	47.52	225.74	273.26	HUNTERSGREEN
594030882	335.0	5.81413	49.01	217.35	266.36	HUNTERSGREEN
